Azienda,Settore,Nazionalità,LinkedIn Ads Library URL
Stripe,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=stripe
Adyen,Fintech,Paesi Bassi,https://www.linkedin.com/ad-library/search?accountOwner=adyen
Plaid,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=plaid
Square,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=square
Brex,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=brex
Checkout.com,Fintech,UK,https://www.linkedin.com/ad-library/search?accountOwner=checkoutcom
Rapyd,Fintech,UK,https://www.linkedin.com/ad-library/search?accountOwner=rapyd
Marqeta,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=marqeta
Bill.com,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=billcom
Payoneer,Fintech,USA,https://www.linkedin.com/ad-library/search?accountOwner=payoneer
Airwallex,Fintech,Australia,https://www.linkedin.com/ad-library/search?accountOwner=airwallex
Wise,Fintech,UK,https://www.linkedin.com/ad-library/search?accountOwner=wise
Atlassian,Software,Australia,https://www.linkedin.com/ad-library/search?accountOwner=atlassian
ServiceNow,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=servicenow
Datadog,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=datadog
Snowflake,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=snowflake
MongoDB,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=mongodb
GitLab,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=gitlab
Elastic,Software,Paesi Bassi,https://www.linkedin.com/ad-library/search?accountOwner=elastic
UiPath,Software,USA (origine Romania),https://www.linkedin.com/ad-library/search?accountOwner=uipath
Confluent,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=confluent
Monday.com,Software,Israele,https://www.linkedin.com/ad-library/search?accountOwner=mondaycom
Asana,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=asana
Smartsheet,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=smartsheet
Zapier,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=zapier
Notion,Software,USA,https://www.linkedin.com/ad-library/search?accountOwner=notion
Miro,Software,USA (origine Russia),https://www.linkedin.com/ad-library/search?accountOwner=miro
Salesforce,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=salesforce
HubSpot,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=hubspot
Outreach,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=outreach
Salesloft,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=salesloft
Gong.io,Sales,Israele,https://www.linkedin.com/ad-library/search?accountOwner=gongio
Clari,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=clari
Seismic,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=seismic
Showpad,Sales,Belgio,https://www.linkedin.com/ad-library/search?accountOwner=showpad
Highspot,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=highspot
Pipedrive,Sales,Estonia,https://www.linkedin.com/ad-library/search?accountOwner=pipedrive
Freshsales (Freshworks),Sales,USA (origine India),https://www.linkedin.com/ad-library/search?accountOwner=freshsalesfreshworks
Apollo.io,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=apolloio
Groove,Sales,USA,https://www.linkedin.com/ad-library/search?accountOwner=groove
Marketo (Adobe),Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=marketoadobe
Mailchimp,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=mailchimp
ActiveCampaign,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=activecampaign
Klaviyo,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=klaviyo
Iterable,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=iterable
Braze,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=braze
Hootsuite,Marketing,Canada,https://www.linkedin.com/ad-library/search?accountOwner=hootsuite
Sprout Social,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=sproutsocial
Semrush,Marketing,USA (origine Russia),https://www.linkedin.com/ad-library/search?accountOwner=semrush
Ahrefs,Marketing,Singapore,https://www.linkedin.com/ad-library/search?accountOwner=ahrefs
Canva,Marketing,Australia,https://www.linkedin.com/ad-library/search?accountOwner=canva
Cvent,Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=cvent
Amazon Web Services (AWS),Marketing,USA,https://www.linkedin.com/ad-library/search?accountOwner=amazonwebservicesaws
Google Cloud Platform (GCP),Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=googlecloudplatformgcp
Microsoft Azure,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=microsoftazure
IBM Cloud,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=ibmcloud
Oracle Cloud,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=oraclecloud
Twilio,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=twilio
Cloudflare,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=cloudflare
DigitalOcean,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=digitalocean
Snowflake,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=snowflake
Fastly,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=fastly
Databricks,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=databricks
OpenAI,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=openai
NVIDIA,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=nvidia
Palantir Technologies,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=palantirtechnologies
Vercel,Tech,USA,https://www.linkedin.com/ad-library/search?accountOwner=vercel
CrowdStrike,Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=crowdstrike
Palo Alto Networks,Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=paloaltonetworks
Okta,Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=okta
Zscaler,Security,Israele,https://www.linkedin.com/ad-library/search?accountOwner=zscaler
Cloudflare (Security Products),Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=cloudflaresecurityproducts
Fortinet,Security,Germania,https://www.linkedin.com/ad-library/search?accountOwner=fortinet
SentinelOne,Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=sentinelone
Snyk,Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=snyk
KnowBe4,Security,USA,https://www.linkedin.com/ad-library/search?accountOwner=knowbe4
Rapid7,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=rapid7
SAP,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=sap
Oracle (ERP),Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=oracleerp
Netsuite (Oracle),Operational,Germania,https://www.linkedin.com/ad-library/search?accountOwner=netsuiteoracle
Workday (Finance Operations),Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=workdayfinanceoperations
Coupa,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=coupa
ServiceNow,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=servicenow
PagerDuty,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=pagerduty
Celonis,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=celonis
Tipalti,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=tipalti
Rippling (Ops + HR),Operational,Israele,https://www.linkedin.com/ad-library/search?accountOwner=ripplingops+hr
Anaplan,Operational,USA,https://www.linkedin.com/ad-library/search?accountOwner=anaplan
GEP,HR,Germania,https://www.linkedin.com/ad-library/search?accountOwner=gep
